PlaceID,Name,Address,Suburb,Postcode,Municipality,HeritagePlaceStatus
6,Port Arthur Penal Settlement,'DEAD ISLAND' 131 POINT PUER RD,PORT ARTHUR,7182,Tasman Council,Permanently Registered
7,Batt's Cottage,23 ALEXANDER ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
8,Twin Cottages,18 ALEXANDER ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
10,Literary Society Library,19 ALEXANDER ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
11,Town Hall,19 ALEXANDER ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
12,Bothwell Stores,12 ALEXANDER ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
13,Bothwell Post Office,10 ALEXANDER ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
14,Cottage,13 ALEXANDER ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
15,White's Shop,20 ALEXANDER ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
16,Crown Inn (The Bothwell Grange),15 ALEXANDER ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
17,CWA Rooms,8 ALEXANDER ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
20,House,1 ALEXANDER ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
21,Mrs Gatenby's Repose,2 ARTHUR CRES,BOTHWELL,7030,Central Highlands Council,Permanently Registered
22,The Falls of Clyde,8 DALRYMPLE ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
24,Rock Cottage,1-3 DENNISTOUN RD,BOTHWELL,7030,Central Highlands Council,Permanently Registered
25,Cottage,5 DENNISTOUN RD,BOTHWELL,7030,Central Highlands Council,Permanently Registered
26,Cottage,8-10 DENNISTOUN RD,BOTHWELL,7030,Central Highlands Council,Permanently Registered
27,Cottage,7 DENNISTOUN RD,BOTHWELL,7030,Central Highlands Council,Permanently Registered
28,Grantham,1 ELIZABETH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
29,Voss Cottage,51 MILL RD,COLLINSVALE,7012,Glenorchy City Council,Permanently Registered
30,Cottage,12 ELIZABETH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
31,Ivy Cottage,4 ELIZABETH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
32,Birch Cottage,18 ELIZABETH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
33,Rose Cottage,20-22 ELIZABETH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
34,Owl Cottage,16 ELIZABETH ST,BOTHWELL,7030,Central Highlands Council,Permanently Registered
